"d.DELTA_GIORNI";"d.CENSURA"
512;1
1531;1
1013;0
1426;1
392;1
228;1
620;1
963;1
1490;1
1261;1
1992;1
68;0
1105;0
1400;1
896;0
819;1
247;0
523;0
902;1
815;0
1055;1
1411;1
494;0
1300;1
676;1
451;1
1440;1
749;0
880;1
1170;1
504;0
248;1
1034;1
557;1
1048;1
872;1
740;1
1334;1
1139;1
321;1
232;1
262;1
1281;1
983;0
1176;1
383;1
522;1
1386;1
993;1
1116;1
812;1
1693;1
1302;0
1691;1
15;0
280;0
956;0
952;1
321;0
630;1
1414;1
443;0
1432;1
371;1
1238;1
503;1
1049;1
1849;1
1494;0
845;1
1275;1
1911;1
973;1
1573;1
1162;0
826;1
780;1
1046;1
167;1
1786;1
972;1
832;0
875;1
616;1
1915;1
1719;0
1315;1
1156;0
1295;1
